Entidad,Domicilio,C.P,Localidad,Horario,Web,Email,Tfno,Fax
ACTIVIDADES SUBACUATICAS,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Lu y Mi de 18 a 21 h.,http://www.faras.es/,administracion@faras.es,976 730 120,
AJEDREZ,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Lu y Mi de 18 a 20 h.,www.ajedrezaragon.com,fada@ajedrezaragon.com,976 526213,
ATLETISMO,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Lu a Vi de 10 a 13 h.,www.federacionaragonesadeatletismo.com,faa@federacionaragonesadeatletismo.com,976 730 250,
AUTOMOVILISMO,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,"Lu, Ma, Ju y Vi de 09 a 16 h. Mi de 9 a 20 h.",http://www.fada.es,info@fada.es,976 731 327,
BADMINTON,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Mi  de 16 a 18 h.,http://www.badmintonaragon.es,farbad@hotmail.com,976730986 / 606994461 ,
BAILE DEPORTIVO,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Ma de 17:00 a 18:30 h.,www.fabdc.es,info@fabd.es,625230465 625095353,976 306 421
BALONCESTO,Pza. Herrera de los Navarros 2,50002.0,ZARAGOZA,"Lu a Vi de 10 a 14 h. Lu, Ma y Ju de 17:30 a 20 h.",www.fabasket.com,fabasket@fabasket.com,976 395 050,976 391 881
BALONMANO,Pº. San Sebastian nº 3,50006.0,ZARAGOZA,Lu a Mi de17:00 a 20:00 h.,http://www.farbm.com,farbm@farbm.com,976 560 677,
BILLAR,"C/ Argualas, 50 (E. M.""El Olivar"")",50012.0,ZARAGOZA,Cita Previa,https://fabcarambolablog.wordpress.com/,valerianocascallar@gmail.com,976559697.0,
BOXEO,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Cita previa,http://www.feboxeo.com,federacionaragonesaboxeo@gmail.com,637 555 194 / 655 191 907,
CAZA,"Plaza Canal Imperial, 2. local",50007.0,ZARAGOZA,L a J de 9:30-13:30 h y 16:30-19:30 h. Excepto V de8 a 15 h,www.farcaza.es,administracion@farcaza.es,976 730 484,976 218 012
CICLISMO,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Lu a Vi de 10 a 14 h. Ma y Ju de 17:30 a 20 h.,www.aragonciclismo.com,info@aragonciclismo.com,976 730 248,976 730 733
COLOMBOFILIA,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Cita previa,http://www.facolombofilia.com/,jameller@jaimeameller.com,609777566.0,
COLUMBICULTURA,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Mi de 18 a 21 h.,http://www.realfec.es,aracolum40@hotmail.com,657204091.0,
DEPORTES AÉREOS,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Lu a Vi de 17 a 20 h.,www.fada.aero,correo@fada.aero,,
DEPORTES DE INVIERNO,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,"Lu a Vi de 9,30 a 14,30 h.",http://www.fadiaragon.org,info@fadiaragon.org / fadi-aragon@fadiaragon.org,976 742 968,976 466 015
DEPORTES TRADICIONALES,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Ju de 17:30 a 19 h.,www.deportestradicionales.es,info@deportestradicionales.es / fadtradicionales@gmail.com,,
ESGRIMA,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Cita Previa,www.esgrimaaragon.org,fed_arag_esg@yahoo.es,660 760 091,
ESPELEOLOGÍA,"Av.  José Atarés,101 semisótano",50018.0,ZARAGOZA,Lu y Ju de 18:30 a 21 h.,www.federacionaragonesaespeleologia.com,aragonespeleofae@gmail.com,976 730 434,976 730 434
FUTBOL,"Parque Roma bl.I, 5",50010.0,ZARAGOZA,Lu a Vi de 9:30 a 14 h. y de 17 a 20 h. Sa de 11 a13 h.,www.futbolaragon.com,federacion@futbolaragon.com,976 316 103,976 533 699
